,FIRE_ID,Fire Name,Acres,Date,Fire Type,LATITUDE,LONGITUDE,time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
10,AL3065208838220060314,DELANEY,1309.0,2006-03-14,Wildfire,30.652,-88.382,'2006-03-14',51,20.8,13.1,18.2,22.0,9.1,15.7,'2006-03-14T07:03','2006-03-14T19:02',22.04,0.8,0.8,0.0,4.0,20.5,47.5,350,4.88
11,AL3067008767720060317,SUSTAINABLE 2,859.0,2006-03-17,Wildfire,30.67,-87.677,'2006-03-17',3,26.1,15.8,19.7,25.6,12.4,18.8,'2006-03-17T06:56','2006-03-17T19:01',18.75,0.0,0.0,0.0,0.0,15.3,36.0,327,4.2
12,AL3067108774220050312,UNNAMED,664.0,2005-03-12,Wildfire,30.671,-87.742,'2005-03-12',0,20.1,8.5,14.0,17.5,4.9,11.0,'2005-03-12T07:02','2005-03-12T18:58',22.5,0.0,0.0,0.0,0.0,22.4,49.7,233,4.2
13,AL3070008762319960226,UNNAMED,1816.0,1996-02-26,Wildfire,30.7,-87.623,'1996-02-26',2,23.5,17.1,19.5,25.2,18.6,20.8,'1996-02-26T07:19','1996-02-26T18:47',15.82,0.0,0.0,0.0,0.0,12.6,29.2,261,2.82
14,AL3079508762219960321,UNNAMED,1382.0,1996-03-21,Wildfire,30.795,-87.622,'1996-03-21',0,13.9,2.7,7.8,10.7,-1.5,4.1,'1996-03-21T06:50','1996-03-21T19:04',24.41,0.0,0.0,0.0,0.0,16.5,40.7,160,3.59
15,AL3087908809720060314,UNNAMED,1333.0,2006-03-14,Wildfire,30.879,-88.097,'2006-03-14',53,20.2,12.6,17.7,21.8,8.7,15.2,'2006-03-14T07:01','2006-03-14T19:01',21.93,1.6,1.6,0.0,5.0,20.1,46.8,346,4.74
16,AL3093408811420060302,UNNAMED,690.0,2006-03-02,Wildfire,30.934,-88.114,'2006-03-02',3,26.3,15.3,20.1,26.6,14.9,20.8,'2006-03-02T07:16','2006-03-02T18:52',16.57,0.0,0.0,0.0,0.0,13.8,36.0,244,3.21
17,AL3102808803820060304,CHUNCHULA,740.0,2006-03-04,Wildfire,31.028,-88.038,'2006-03-04',0,19.0,7.4,12.6,16.9,3.7,9.4,'2006-03-04T07:13','2006-03-04T18:53',21.61,0.0,0.0,0.0,0.0,14.6,31.0,23,4.04
18,AL3105008828820020216,UNNAMED,531.0,2002-02-16,Wildfire,31.05,-88.288,'2002-02-16',3,17.3,8.6,12.5,15.1,5.1,10.0,'2002-02-16T07:31','2002-02-16T18:42',18.35,0.0,0.0,0.0,0.0,14.0,32.0,324,3.12
19,AL3106008682320000917,UNNAMED,988.0,2000-09-17,Wildfire,31.06,-86.823,'2000-09-17',3,26.4,17.9,21.6,27.3,16.2,20.6,'2000-09-17T06:31','2000-09-17T18:51',20.44,0.0,0.0,0.0,0.0,17.8,43.2,50,4.93
20,AL3109408765820010218,UNNAMED,911.0,2001-02-18,Wildfire,31.078,-87.658,'2001-02-18',0,14.1,2.4,7.6,11.1,-2.6,3.5,'2001-02-18T07:27','2001-02-18T18:42',19.47,0.0,0.0,0.0,0.0,15.5,32.8,15,3.29
21,AL3117408626420040416,GREENBAY,606.0,2004-04-16,Wildfire,31.174,-86.264,'2004-04-16',0,25.5,8.3,17.1,26.0,6.8,16.0,'2004-04-16T06:13','2004-04-16T19:15',27.53,0.0,0.0,0.0,0.0,13.6,24.8,199,5.32
22,AL3117708803020000514,UNNAMED,861.0,2000-05-14,Wildfire,31.177,-88.03,'2000-05-14',1,29.1,19.8,23.9,30.0,18.0,23.3,'2000-05-14T05:55','2000-05-14T19:41',28.88,0.0,0.0,0.0,0.0,13.3,31.3,356,6.8
23,AL3122808810119940306,UNNAMED,815.0,1994-03-06,Wildfire,31.228,-88.101,'1994-03-06',2,24.6,9.4,16.0,23.8,8.2,15.0,'1994-03-06T07:11','1994-03-06T18:55',20.22,0.0,0.0,0.0,0.0,12.3,30.2,202,3.82
24,AL3125608689620000715,UNNAMED,765.0,2000-07-15,Wildfire,31.237,-86.797,'2000-07-15',1,36.6,24.2,30.4,38.3,25.0,32.6,'2000-07-15T05:52','2000-07-15T19:53',25.55,0.0,0.0,0.0,0.0,12.1,30.6,328,6.7
25,AL3129908825620050219,UNNAMED,1780.0,2005-02-19,Wildfire,31.299,-88.256,'2005-02-19',1,17.2,5.0,10.6,14.7,1.8,7.7,'2005-02-19T07:28','2005-02-19T18:44',17.67,0.0,0.0,0.0,0.0,11.5,30.2,128,3.0
26,AL3130008806519940315,UNNAMED,1085.0,1994-03-15,Wildfire,31.3,-88.065,'1994-03-15',2,24.3,10.4,16.7,24.1,8.9,15.9,'1994-03-15T07:00','1994-03-15T19:01',19.09,0.0,0.0,0.0,0.0,13.3,31.7,250,3.56
27,AL3144008811320050308,UNNAMED,1110.0,2005-03-08,Wildfire,31.44,-88.113,'2005-03-08',61,16.7,8.0,12.1,16.2,4.4,8.7,'2005-03-08T07:09','2005-03-08T18:57',21.92,1.9,1.9,0.0,3.0,24.9,52.6,318,3.6
28,AL3148108808620050218,UNNAMED,780.0,2005-02-18,Wildfire,31.481,-88.086,'2005-02-18',2,14.2,5.2,9.2,11.3,1.3,5.7,'2005-02-18T07:29','2005-02-18T18:43',17.91,0.0,0.0,0.0,0.0,12.3,31.7,26,3.04
29,AL3169408733120000829,UNNAMED,563.0,2000-08-29,Wildfire,31.694,-87.331,'2000-08-29',53,37.9,25.8,31.2,40.8,28.1,34.1,'2000-08-29T06:22','2000-08-29T19:17',22.88,0.5,0.5,0.0,1.0,15.1,47.5,12,6.38
30,AL3195908573720060405,GRIZZLE,571.0,2006-04-05,Wildfire,31.959,-85.737,'2006-04-05',1,26.3,9.5,18.1,23.9,7.2,15.3,'2006-04-05T06:24','2006-04-05T19:06',25.68,0.0,0.0,0.0,0.0,9.0,28.1,341,5.52
31,AL3222308526820060412,UNNAMED,708.0,2006-04-12,Wildfire,32.223,-85.268,'2006-04-12',2,25.5,13.0,19.3,25.4,11.7,18.3,'2006-04-12T06:13','2006-04-12T19:09',21.18,0.0,0.0,0.0,0.0,11.1,24.8,113,4.32
32,AL3225508573520110304,ST MARK CHURCH,836.0,2011-03-04,Wildfire,32.266,-85.729,'2011-03-04',51,19.6,11.8,15.2,16.3,9.2,12.5,'2011-03-04T07:05','2011-03-04T18:43',12.42,0.4,0.4,0.0,2.0,23.2,54.0,105,2.82
33,AL3229208545020020216,UNNAMED,737.0,2002-02-16,Wildfire,32.292,-85.45,'2002-02-16',2,16.2,6.5,10.4,14.1,3.4,7.7,'2002-02-16T07:21','2002-02-16T18:29',18.22,0.0,0.0,0.0,0.0,14.7,36.0,290,2.89
34,AL3231808587220040407,MACON SE,886.0,2004-04-07,Wildfire,32.318,-85.872,'2004-04-07',51,24.3,10.6,17.6,23.9,9.3,16.4,'2004-04-07T06:21','2004-04-07T19:09',19.16,0.2,0.2,0.0,1.0,15.6,34.2,180,3.94
35,AL3258008831520070521,WESTERVELT,989.0,2007-05-21,Wildfire,32.58,-88.315,'2007-05-21',0,30.9,15.3,23.7,31.7,14.7,23.5,'2007-05-21T05:49','2007-05-21T19:50',28.93,0.0,0.0,0.0,0.0,6.8,21.6,108,6.07
36,AL3273208714919871107,UNNAMED,1350.0,1987-11-07,Wildfire,32.732,-87.149,'1987-11-07',1,21.9,9.0,14.5,17.6,4.8,10.5,'1987-11-07T07:10','1987-11-07T17:54',15.6,0.0,0.0,0.0,0.0,13.7,33.8,125,4.04
37,AL3277108700519871107,UNNAMED,1006.0,1987-11-07,Wildfire,32.771,-87.005,'1987-11-07',1,21.6,8.8,14.3,17.5,4.6,10.2,'1987-11-07T07:09','1987-11-07T17:53',15.6,0.0,0.0,0.0,0.0,13.6,33.5,124,3.97
38,AL3285808730320050120,UNNAMED,1033.0,2005-01-20,Wildfire,32.858,-87.303,'2005-01-20',1,14.9,1.0,7.1,12.4,-2.2,4.4,'2005-01-20T07:48','2005-01-20T18:11',14.08,0.0,0.0,0.0,0.0,12.2,27.7,243,1.92
39,AL3313108633919931203,UNNAMED,793.0,1993-12-03,Wildfire,33.131,-86.339,'1993-12-03',51,18.5,9.0,13.5,16.9,6.9,11.4,'1993-12-03T07:31','1993-12-03T17:39',9.2,0.3,0.3,0.0,2.0,16.4,33.8,142,1.94
40,AL3317108611720161113,HALF WAY,1043.0,2016-11-12,Wildfire,33.171,-86.111,'2016-11-12',2,18.8,9.5,13.3,15.1,5.9,9.7,'2016-11-12T07:11','2016-11-12T17:45',13.45,0.0,0.0,0.0,0.0,16.8,38.9,65,3.19
41,AL3319808636020050620,UNNAMED,748.0,2005-06-20,Wildfire,33.198,-86.36,'2005-06-20',51,27.9,18.0,23.0,30.1,18.0,24.2,'2005-06-20T05:35','2005-06-20T19:58',25.68,0.2,0.2,0.0,1.0,11.3,24.1,98,5.31
42,AL3326608609720161012,POWER HORN,630.0,2016-10-12,Wildfire,33.259,-86.095,'2016-10-12',0,26.4,13.0,19.4,26.2,10.3,17.5,'2016-10-12T06:45','2016-10-12T18:15',19.65,0.0,0.0,0.0,0.0,12.0,24.5,106,4.24
43,AL3337208592120161029,WELCOME HOME 1,1053.0,2016-10-29,Wildfire,33.377,-85.91,'2016-10-29',0,27.4,13.9,20.7,27.4,14.0,20.5,'2016-10-29T06:59','2016-10-29T17:55',15.62,0.0,0.0,0.0,0.0,8.1,16.6,169,3.07
44,AL3337608689419850418,UNNAMED,598.0,1985-04-18,Wildfire,33.376,-86.894,'1985-04-18',1,27.0,14.3,20.6,28.1,13.0,20.2,'1985-04-18T06:11','1985-04-18T19:21',24.63,0.0,0.0,0.0,0.0,11.4,29.9,144,5.19
45,AL3337908583420070818,HIGH FALLS,690.0,2007-08-18,Wildfire,33.379,-85.834,'2007-08-18',55,34.1,23.2,27.5,37.2,26.9,31.3,'2007-08-18T06:06','2007-08-18T19:27',21.16,2.5,2.5,0.0,3.0,10.2,34.9,152,4.78
46,AL3339608584320160320,CANEY HEAD,957.0,2016-03-20,Wildfire,33.391,-85.843,'2016-03-20',2,9.4,2.7,6.4,4.6,-2.5,1.6,'2016-03-20T06:44','2016-03-20T18:56',19.84,0.0,0.0,0.0,0.0,22.6,54.4,316,3.05
47,AL3339808709920110604,MUD CREEK FIRE,2224.0,2011-06-04,Wildfire,33.409,-87.111,'2011-06-04',0,35.9,23.1,29.4,37.5,25.4,31.6,'2011-06-04T05:37','2011-06-04T19:55',27.87,0.0,0.0,0.0,0.0,14.8,38.2,20,7.07
48,AL3341708585019981204,CHEAHA WILDERNESS,3299.0,1998-12-04,Wildfire,33.417,-85.85,'1998-12-04',2,22.3,11.3,16.1,21.5,10.4,15.4,'1998-12-04T07:30','1998-12-04T17:36',12.04,0.0,0.0,0.0,0.0,12.4,28.1,161,2.2
49,AL3342008734220000916,UNNAMED,2893.0,2000-09-16,Wildfire,33.42,-87.342,'2000-09-16',0,26.2,16.0,20.7,24.2,13.7,18.3,'2000-09-16T06:32','2000-09-16T18:55',23.53,0.0,0.0,0.0,0.0,14.5,33.8,24,5.81
50,AL3345008723319990916,UNNAMED,608.0,1999-09-16,Wildfire,33.45,-87.233,'1999-09-16',0,28.2,18.2,23.1,26.2,15.7,20.4,'1999-09-16T06:31','1999-09-16T18:55',23.15,0.0,0.0,0.0,0.0,17.3,42.8,355,6.52
51,AL3346508586820161128,LAKE CHINNABEE,1254.0,2016-11-28,Wildfire,33.473,-85.871,'2016-11-28',53,18.5,10.0,14.3,15.0,5.5,10.9,'2016-11-28T07:26','2016-11-28T17:37',4.54,1.3,1.3,0.0,3.0,30.4,77.4,153,1.96
52,AL3355908570719960324,LAKE,585.0,1996-03-24,Wildfire,33.559,-85.707,'1996-03-24',2,20.1,6.0,12.8,17.3,2.6,9.6,'1996-03-24T06:38','1996-03-24T18:59',23.66,0.0,0.0,0.0,0.0,19.2,45.7,292,4.46
53,AL3356008702619950801,UNNAMED,753.0,1995-08-01,Wildfire,33.56,-87.026,'1995-08-01',1,33.5,23.2,28.1,36.3,26.1,30.8,'1995-08-01T05:59','1995-08-01T19:49',23.86,0.0,0.0,0.0,0.0,11.4,29.2,94,5.64
54,AL3369008589020140202,PELHAM RANGE,1668.0,2014-02-02,Wildfire,33.698,-85.901,'2014-02-02',63,20.8,6.6,13.1,20.5,4.0,11.8,'2014-02-02T07:37','2014-02-02T18:16',9.85,12.5,12.5,0.0,8.0,21.1,60.5,184,1.63
55,AL3369308590820160925,TANK,1305.0,2016-09-25,Wildfire,33.699,-85.907,'2016-09-25',1,34.3,22.3,28.2,36.0,25.0,29.5,'2016-09-25T06:33','2016-09-25T18:36',18.44,0.0,0.0,0.0,0.0,12.2,23.4,126,4.66
56,AL3369408692819940316,UNNAMED,2394.0,1994-03-16,Wildfire,33.694,-86.928,'1994-03-16',0,13.5,5.9,10.0,9.8,1.7,5.9,'1994-03-16T06:55','1994-03-16T18:57',22.8,0.0,0.0,0.0,0.0,19.9,48.2,339,3.82
57,AL3369408721319990911,UNNAMED,553.0,1999-09-11,Wildfire,33.694,-87.213,'1999-09-11',1,31.1,16.9,24.4,30.6,16.6,23.6,'1999-09-11T06:28','1999-09-11T19:02',22.18,0.0,0.0,0.0,0.0,10.0,30.2,92,5.31
58,AL3377308564120120131,SMOKE CHASER,1422.0,2012-01-31,Wildfire,33.752,-85.627,'2012-01-31',2,16.7,4.7,9.7,13.0,0.5,6.2,'2012-01-31T07:38','2012-01-31T18:13',12.24,0.0,0.0,0.0,0.0,12.6,30.6,167,2.53
59,AL3377408616120070610,SOTERRA-6,758.0,2007-06-10,Wildfire,33.774,-86.161,'2007-06-10',1,33.0,19.3,26.3,34.2,19.5,27.1,'2007-06-10T05:32','2007-06-10T19:56',29.82,0.0,0.0,0.0,0.0,11.2,24.1,2,6.78
60,AL3384508701120161105,CYCLOPS,660.0,2016-11-05,Wildfire,33.845,-87.033,'2016-11-05',1,24.1,12.6,18.3,23.0,9.9,16.3,'2016-11-05T07:10','2016-11-05T17:53',13.09,0.0,0.0,0.0,0.0,12.6,26.6,67,3.1
61,AL3388208542819950410,TERRAPIN CREEK,1205.0,1995-04-10,Wildfire,33.882,-85.428,'1995-04-10',1,30.6,14.6,22.6,30.0,14.2,21.4,'1995-04-10T06:15','1995-04-10T19:10',25.44,0.0,0.0,0.0,0.0,16.3,40.3,167,6.27
62,AL3389308555920070227,DUGGER MTN,700.0,2007-02-27,Wildfire,33.893,-85.559,'2007-02-27',0,17.9,4.1,10.5,16.6,1.1,8.0,'2007-02-27T07:11','2007-02-27T18:38',19.48,0.0,0.0,0.0,0.0,9.6,24.8,25,3.14
63,AL3390408554520110219,FLEET,646.0,2011-02-19,Wildfire,33.899,-85.541,'2011-02-19',3,20.9,11.1,14.9,20.5,7.7,13.7,'2011-02-19T07:21','2011-02-19T18:30',14.07,0.0,0.0,0.0,0.0,12.9,24.5,22,2.81
64,AL3390908540120110222,BORDEN SPRINGS,1067.0,2011-02-22,Wildfire,33.909,-85.427,'2011-02-22',51,17.8,9.2,14.5,15.8,6.3,12.5,'2011-02-22T07:17','2011-02-22T18:33',15.09,0.5,0.5,0.0,3.0,14.8,39.2,295,2.83
65,AL3396208567820110220,KNIGHTENS CROSSROADS,934.0,2011-02-20,Wildfire,33.966,-85.666,'2011-02-20',3,20.5,8.1,13.9,18.3,4.7,11.4,'2011-02-20T07:20','2011-02-20T18:32',10.93,0.0,0.0,0.0,0.0,18.1,38.9,143,2.64
66,AL3397208693419990915,UNNAMED,809.0,1999-09-15,Wildfire,33.972,-86.934,'1999-09-15',0,29.4,17.6,23.1,26.1,14.0,19.5,'1999-09-15T06:29','1999-09-15T18:56',23.53,0.0,0.0,0.0,0.0,21.3,52.2,10,7.52
67,AL3398508540419850404,UNNAMED,1397.0,1985-04-04,Wildfire,33.985,-85.404,'1985-04-04',1,24.7,11.4,17.9,21.9,9.0,15.4,'1985-04-04T06:22','1985-04-04T19:06',24.89,0.0,0.0,0.0,0.0,23.5,54.4,202,5.51
68,AL3402108546720010128,UNNAMED,1357.0,2001-01-28,Wildfire,34.021,-85.467,'2001-01-28',1,14.4,-1.9,5.3,11.6,-5.2,2.0,'2001-01-28T07:39','2001-01-28T18:10',14.82,0.0,0.0,0.0,0.0,12.0,20.2,73,2.05
69,AL3402408567620070312,PENTECOST,3095.0,2007-03-12,Wildfire,34.024,-85.676,'2007-03-12',2,21.5,6.3,14.1,20.8,3.5,12.6,'2007-03-12T06:55','2007-03-12T18:49',18.12,0.0,0.0,0.0,0.0,8.4,20.9,45,3.2
70,AL3403408569120110222,MT WEISNER 2011,1317.0,2011-02-22,Wildfire,34.022,-85.681,'2011-02-22',51,17.0,8.7,14.0,14.9,5.6,11.7,'2011-02-22T07:18','2011-02-22T18:34',14.43,0.3,0.3,0.0,2.0,17.4,41.0,290,2.8
71,AL3409508738120050304,UNNAMED,1198.0,2005-03-04,Wildfire,34.095,-87.381,'2005-03-04',1,15.9,1.8,8.5,13.5,-1.3,5.7,'2005-03-04T07:12','2005-03-04T18:49',19.74,0.0,0.0,0.0,0.0,14.0,31.7,240,2.94
72,AL3417008582520001030,UNNAMED,1449.0,2000-10-30,Wildfire,34.17,-85.825,'2000-10-30',51,25.3,13.7,18.9,25.4,11.8,18.2,'2000-10-30T07:00','2000-10-30T17:53',13.87,0.5,0.5,0.0,2.0,8.9,23.4,65,2.78
73,AL3421108731520050125,UNNAMED,1264.0,2005-01-25,Wildfire,34.211,-87.315,'2005-01-25',1,13.2,-0.7,5.3,9.8,-5.0,1.7,'2005-01-25T07:49','2005-01-25T18:14',13.83,0.0,0.0,0.0,0.0,14.4,29.9,220,1.99
74,AL3421108732420050212,UNNAMED,943.0,2005-02-12,Wildfire,34.211,-87.324,'2005-02-12',3,16.1,1.9,8.4,13.0,-1.3,5.5,'2005-02-12T07:35','2005-02-12T18:31',13.97,0.0,0.0,0.0,0.0,12.1,29.5,246,2.25
75,AL3424208722720050119,UNNAMED,1184.0,2005-01-19,Wildfire,34.242,-87.227,'2005-01-19',3,7.4,-2.7,1.1,3.4,-7.8,-3.5,'2005-01-19T07:51','2005-01-19T18:07',8.1,0.0,0.0,0.0,0.0,15.5,37.8,224,1.36
76,AL3428308719920050212,UNNAMED,777.0,2005-02-12,Wildfire,34.283,-87.199,'2005-02-12',3,15.9,1.7,8.2,12.8,-1.6,5.3,'2005-02-12T07:34','2005-02-12T18:31',13.97,0.0,0.0,0.0,0.0,12.1,29.5,246,2.25
77,AL3428608726820050217,UNNAMED,868.0,2005-02-17,Wildfire,34.286,-87.268,'2005-02-17',2,9.7,3.3,6.1,5.2,-1.9,1.4,'2005-02-17T07:29','2005-02-17T18:36',17.47,0.0,0.0,0.0,0.0,17.7,40.7,351,2.88
78,AL3429908719620110221,GREEN TOWER,2653.0,2011-02-21,Wildfire,34.312,-87.18,'2011-02-21',51,19.8,13.4,16.6,18.3,11.7,14.8,'2011-02-21T07:25','2011-02-21T18:38',10.21,0.1,0.1,0.0,1.0,22.7,55.8,215,2.35
79,AL3430308724820050103,UNNAMED,759.0,2005-01-03,Wildfire,34.303,-87.248,'2005-01-03',2,19.5,12.0,15.1,18.4,10.6,14.1,'2005-01-03T07:54','2005-01-03T17:53',8.84,0.0,0.0,0.0,0.0,15.5,42.5,180,1.53
80,AL3432608815220140325,HURRICANE CREEK,593.0,2014-03-25,Wildfire,34.324,-88.151,'2014-03-25',3,8.7,2.7,5.6,2.9,-1.3,0.7,'2014-03-25T06:47','2014-03-25T19:09',21.67,0.0,0.0,0.0,0.0,27.7,65.2,329,3.08
81,AL3433408743420151016,BIG TREE,2288.0,2015-10-16,Wildfire,34.325,-87.42,'2015-10-16',0,22.8,13.6,18.4,19.2,9.7,15.2,'2015-10-16T06:54','2015-10-16T18:15',18.14,0.0,0.0,0.0,0.0,18.3,45.4,359,4.68
82,AL3434608727220050120,UNNAMED,600.0,2005-01-20,Wildfire,34.346,-87.272,'2005-01-20',1,13.7,-1.5,5.8,10.9,-4.6,2.9,'2005-01-20T07:51','2005-01-20T18:08',13.21,0.0,0.0,0.0,0.0,14.1,30.6,243,1.69
83,AL3439508752220110220,FORD,984.0,2011-02-20,Wildfire,34.403,-87.519,'2011-02-20',3,20.6,10.2,14.9,18.0,6.8,12.3,'2011-02-20T07:28','2011-02-20T18:39',11.87,0.0,0.0,0.0,0.0,21.1,46.8,169,2.91
84,AL3441408559120070305,WILDCAT BRANCH WFIRE,2285.0,2007-03-05,Wildfire,34.414,-85.591,'2007-03-05',0,13.2,-1.4,5.3,10.1,-5.2,1.7,'2007-03-05T07:04','2007-03-05T18:42',20.77,0.0,0.0,0.0,0.0,12.2,31.3,302,3.01
85,AL3441508561619850308,STATED0003,514.0,1985-03-08,Wildfire,34.415,-85.616,'1985-03-08',3,20.8,8.2,13.9,19.1,5.7,12.3,'1985-03-08T07:00','1985-03-08T18:45',14.01,0.0,0.0,0.0,0.0,18.2,46.1,217,2.39
86,AL3441608560020020613,RD01-CR103,629.0,2002-06-13,Wildfire,34.416,-85.6,'2002-06-13',61,32.1,20.5,26.1,35.6,21.5,27.9,'2002-06-13T05:28','2002-06-13T19:56',23.74,1.9,1.9,0.0,3.0,8.9,35.6,245,5.3
87,AL3443708560220061206,RD07-09,1394.0,2006-12-06,Wildfire,34.437,-85.602,'2006-12-06',2,10.2,-0.2,4.6,6.4,-4.1,0.9,'2006-12-06T07:33','2006-12-06T17:33',9.82,0.0,0.0,0.0,0.0,10.4,31.0,202,1.47
88,AL3444708558020060405,UNNAMED,2405.0,2006-04-05,Wildfire,34.447,-85.58,'2006-04-05',1,19.8,6.6,13.1,18.5,3.5,10.8,'2006-04-05T06:22','2006-04-05T19:07',25.68,0.0,0.0,0.0,0.0,8.6,24.5,322,4.39
89,AL3446308559919850306,STATED0005,798.0,1985-03-06,Wildfire,34.463,-85.599,'1985-03-06',0,13.6,0.8,6.5,10.5,-4.0,2.5,'1985-03-06T07:02','1985-03-06T18:44',21.05,0.0,0.0,0.0,0.0,14.2,34.9,31,3.27
90,AL3447008761519990915,CHERRY HILL,659.0,1999-09-15,Wildfire,34.47,-87.615,'1999-09-15',0,28.7,17.0,22.5,25.2,13.5,19.0,'1999-09-15T06:32','1999-09-15T18:59',23.62,0.0,0.0,0.0,0.0,21.6,51.5,17,7.2
91,AL3447208553419871106,STATEC0045,2669.0,1987-11-06,Wildfire,34.472,-85.534,'1987-11-06',0,15.8,5.0,9.6,11.5,0.0,5.2,'1987-11-06T07:05','1987-11-06T17:45',15.11,0.0,0.0,0.0,0.0,16.9,38.5,31,3.16
92,AL3456308766220140314,HIGHWAY 77,518.0,2014-03-14,Wildfire,34.561,-87.669,'2014-03-14',51,17.4,4.6,10.4,13.9,0.4,6.9,'2014-03-14T07:00','2014-03-14T18:58',21.0,0.2,0.2,0.0,1.0,19.8,50.4,199,3.5
93,AL3483108570220011108,UNNAMED,663.0,2001-11-08,Wildfire,34.831,-85.702,'2001-11-08',1,20.3,8.9,13.8,17.7,6.9,11.5,'2001-11-08T07:09','2001-11-08T17:43',14.36,0.0,0.0,0.0,0.0,9.9,26.6,265,2.67
94,AL3484008569420040404,JACKSON,798.0,2004-04-04,Wildfire,34.84,-85.694,'2004-04-04',0,12.7,5.4,8.6,9.1,0.9,4.4,'2004-04-04T06:23','2004-04-04T19:07',26.04,0.0,0.0,0.0,0.0,18.5,49.0,335,4.05
95,AL3488708589120070324,STEVENSON,955.0,2007-03-24,Wildfire,34.887,-85.891,'2007-03-24',2,25.0,13.0,19.0,25.8,12.1,18.9,'2007-03-24T06:40','2007-03-24T18:59',20.06,0.0,0.0,0.0,0.0,9.2,21.6,183,3.82
96,FL3099008698720080326,CAMP HENDERSON,1493.0,2008-03-26,Wildfire,30.99,-86.987,'2008-03-26',0,20.8,4.5,12.7,20.7,2.1,10.9,'2008-03-26T06:41','2008-03-26T19:04',24.84,0.0,0.0,0.0,0.0,12.3,25.2,170,4.17
97,GA3414308541920160922,JEFFERSON RD,1309.0,2016-09-22,Wildfire,34.133,-85.418,'2016-09-22',1,32.3,22.4,27.3,34.4,24.6,29.0,'2016-09-22T07:29','2016-09-22T19:39',18.64,0.0,0.0,0.0,0.0,9.2,25.2,55,4.6
